,,,608,,,,,
2.41,-0.85953975,-0.185982285,2.261946711,50.26548246,,,,
2.42,-0.836920283,-0.138230077,2.764601535,-25.13274123,,,,
2.43,-0.809274268,-0.090477868,2.513274123,50.26548246,,,,
2.44,-0.784141526,-0.045238934,3.015928947,25.13274123,,,,
2.45,-0.753982237,0.002513274,3.26725636,-1.45E-11,,,,
2.46,-0.721309673,0.050265482,3.26725636,25.13274123,,,,
2.47,-0.68863711,0.095504417,3.518583772,-1.56E-11,,,,
2.48,-0.653451272,0.143256625,3.518583772,25.13274123,,,,
2.49,-0.618265434,0.188495559,3.769911184,25.13274123,,,,
2.5,-0.580566322,0.233734493,4.021238597,-50.26548246,,,,
2.51,-0.540353936,0.278973428,3.518583772,50.26548246,,,,
2.52,-0.505168099,0.321699088,4.021238597,25.13274123,,,,
2.53,-0.464955713,0.364424748,4.272566009,2.01E-11,,,,
2.54,-0.422230053,0.407150408,4.272566009,25.13274123,,,,
2.55,-0.379504393,0.447362794,4.523893421,2.02E-11,,,,
2.56,-0.334265458,0.48757518,4.523893421,-1.98E-11,,,,
2.57,-0.289026524,0.525274292,4.523893421,1.98E-11,,,,
2.58,-0.24378759,0.562973404,4.523893421,-1.98E-11,,,,
2.59,-0.198548656,0.598159241,4.523893421,25.13274123,,,,
2.6,-0.153309721,0.633345079,4.775220833,-25.13274123,,,,
2.61,-0.105557513,0.666017643,4.523893421,25.13274123,,,,
2.62,-0.060318579,0.696176932,4.775220833,-25.13274123,,,,
2.63,-0.012566371,0.723822947,4.523893421,25.13274123,,,,
2.64,0.032672564,0.751468963,4.775220833,-25.13274123,,,,
2.65,0.080424772,0.776601704,4.523893421,2.01E-11,,,,
2.66,0.125663706,0.801734445,4.523893421,-2.04E-11,,,,
2.67,0.17090264,0.821840638,4.523893421,-25.13274123,,,,
2.68,0.216141575,0.841946831,4.272566009,-1.81E-11,,,,
2.69,0.258867235,0.857026476,4.272566009,1.84E-11,,,,
2.7,0.301592895,0.874619395,4.272566009,-25.13274123,,,,
2.71,0.344318555,0.887185765,4.021238597,1.73E-11,,,,
2.72,0.384530941,0.899752136,4.021238597,-25.13274123,,,,
2.73,0.424743327,0.907291958,3.769911184,1.73E-11,,,,
2.74,0.462442439,0.914831781,3.769911184,-25.13274123,,,,
2.75,0.50014155,0.919858329,3.518583772,-25.13274123,,,,
2.76,0.535327388,0.924884877,3.26725636,1.45E-11,,,,
2.77,0.567999952,0.924884877,3.26725636,-25.13274123,,,,
2.78,0.600672515,0.924884877,3.015928947,-25.13274123,,,,
